price,neighborhood_name,administritive_area,city,rooms,bathrooms,sqm,elevator,bool,driver,garden
920000.0,As Suwaidi Al Gharbi,Riyadh, West Riyadh,5,5,200.0,0,0,0,0
810000.0,Taibah,Riyadh, South Riyadh,5,5,216.0,0,0,0,0
950000.0,Uqaz,Riyadh, South Riyadh,5,5,300.0,0,0,0,0
880000.0,Uqaz,Riyadh, South Riyadh,5,5,360.0,0,0,0,0
1300000.0,Al Munsiyah,Riyadh, East Riyadh,4,5,240.0,0,0,0,0
1050000.0,Ar Rimal,Riyadh, East Riyadh,5,5,268.0,0,0,0,0
1250000.0,Ar Rimal,Riyadh, East Riyadh,5,3,292.0,0,0,0,0
1050000.0,Al Janadriyah,Riyadh, East Riyadh,4,4,350.0,0,0,0,0
1650000.0,Ar Rimal,Riyadh, East Riyadh,3,3,432.0,0,0,0,0
1150000.0,Badr,Riyadh, South Riyadh,3,3,372.0,0,0,0,0
1120000.0,Ar Rimal,Riyadh, East Riyadh,3,2,252.0,0,0,0,0
790000.0,Taibah,Riyadh, South Riyadh,4,5,216.0,0,0,0,0
1050000.0,Ar Rimal,Riyadh, East Riyadh,4,4,220.0,0,0,0,0
790000.0,Taibah,Riyadh, South Riyadh,4,5,207.0,0,0,0,0
1200000.0,Az Zomorod,Makkah, Jeddah,7,4,480.0,0,1,0,0
1050000.0,Al Maizilah,Riyadh, East Riyadh,4,4,200.0,0,0,0,0
1850000.0,Az Zomorod,Makkah, Jeddah,6,7,375.0,1,0,1,0
1250000.0,Al Yaqoot,Makkah, Jeddah,4,5,262.0,0,0,0,1
1650000.0,Al Quds,Riyadh, East Riyadh,4,3,262.0,0,0,0,0
1050000.0,Ad Dar Al Baida,Riyadh, South Riyadh,3,3,360.0,0,0,0,0
1250000.0,Ar Rimal,Riyadh, East Riyadh,5,6,300.0,0,0,0,0
1000000.0,Uqaz,Riyadh, South Riyadh,6,5,315.0,1,0,0,0
930000.0,Tuwaiq,Riyadh, West Riyadh,5,6,200.0,0,0,0,0
1300000.0,Ar Rimal,Riyadh, East Riyadh,5,6,387.0,0,0,0,0
1150008.0,Badr,Riyadh, South Riyadh,3,5,406.0,0,0,0,0
1300000.0,Al Yaqoot,Makkah, Jeddah,5,6,262.0,0,0,0,0
1500000.0,Ar Rimal,Riyadh, East Riyadh,4,4,367.0,0,0,0,0
1400000.0,Ar Rimal,Riyadh, East Riyadh,3,2,360.0,0,0,0,0
1050000.0,Ar Rimal,Riyadh, East Riyadh,4,5,220.0,0,0,0,0
1050000.0,Ar Rimal,Riyadh, East Riyadh,3,6,216.0,0,0,0,0
1850000.0,Ar Rimal,Riyadh, East Riyadh,4,4,450.0,0,0,0,0
1700000.0,Al Loaloa,Makkah, Jeddah,7,7,540.0,0,0,0,0
1000000.0,Ar Rimal,Riyadh, East Riyadh,7,6,250.0,0,0,0,0
1120000.0,Tuwaiq,Riyadh, West Riyadh,5,5,300.0,0,0,0,0
1050000.0,Ar Rimal,Riyadh, East Riyadh,4,3,216.0,0,0,0,0
1000000.0,Al Hazm,Riyadh, South Riyadh,4,5,262.0,0,0,0,0
1600000.0,Ar Rimal,Riyadh, East Riyadh,4,4,432.0,0,0,0,0
950000.0,Al Awali,Riyadh, Al Riyadh,5,5,200.0,0,0,0,0
1320000.0,Al Maizilah,Riyadh, East Riyadh,5,4,275.0,0,0,0,0
1350000.0,Al Qadisiyah,Riyadh, East Riyadh,6,6,300.0,1,0,0,0
1150000.0,Badr,Riyadh, South Riyadh,3,4,406.0,0,0,0,0
2000500.0,Ash Shati,Makkah, Jeddah,6,6,274.0,0,0,1,0
1380000.0,Al Ghoroub,Riyadh, West Riyadh,7,7,400.0,0,0,0,0
